"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
3593,"Q68CZ2","TNS3","Tensin-3","TNS3",0.046261111,-0.054981457,-0.025299723,0.039677484,0.17002976,0.067660423,-0.010711446,0.093551828,1,"OTHER"
3594,"Q68D10","SPTY2D1","Protein SPT2 homolog","SPTY2D1",0.738412612,-0.066512669,0.23718309,0.537016229,0.214346618,0.417310453,0.341785285,0.39564142,1,"OTHER"
3595,"Q68D91","MBLAC2","Metallo-beta-lactamase domain-containing protein 2","MBLAC2",-0.086201152,0.12110264,0.175227838,0.423804691,0.023867205,-0.019978385,0.074372257,0.156780239,1,"OTHER"
3597,"Q68DH5","LMBRD2","LMBR1 domain-containing protein 2","LMBRD2",0.358858814,0.540385628,0.434427234,0.318169394,-0.112504644,0.645032132,0.446484404,0.316339829,1,"OTHER"
3598,"Q68DK2","ZFYVE26","Zinc finger FYVE domain-containing protein 26","ZFYVE26",0.557777007,0.228787928,0.25123729,0.021162035,0.101638742,0.268568895,0.353916727,0.134168526,0.931283496,"OTHER"
3600,"Q68DQ2","CRYBG3","Very large A-kinase anchor protein","CRYBG3",0.738868968,0.309332928,0.427957861,-0.068090833,0.224971261,0.497607265,0.503630126,0.236553219,0.685557162,"OTHER"
3601,"Q68E01","INTS3","Integrator complex subunit 3","INTS3",-0.160659074,-0.321982761,-0.068196518,0.786399145,0.235043337,0.065512413,-0.179832974,0.396218997,0.033477628,"INV"
3602,"Q68EM7","ARHGAP17","Rho GTPase-activating protein 17","ARHGAP17",0.160329233,-0.162317496,-0.006935097,-0.00735603,-0.013255989,-0.179902536,0.003043336,-0.064650628,1,"OTHER"
3603,"Q69YN4","KIAA1429","Protein virilizer homolog","KIAA1429",0.127460499,-0.226626228,-0.61481698,-0.3362561,-0.031981669,0.197571444,-0.20644365,-0.040508563,1,"OTHER"
3604,"Q69YQ0","SPECC1L","Cytospin-A","SPECC1L",0.098190379,-0.075960881,-0.162812042,0.150841903,0.158882561,-0.184070599,-0.042742986,0.050492495,1,"OTHER"
3608,"Q6AI12","ANKRD40","Ankyrin repeat domain-containing protein 40","ANKRD40",0.274546672,0.414263081,0.675249593,-0.533752824,0.036446533,0.568446923,0.464356265,0.092778676,0.167205437,"OTHER"
3610,"Q6AZY7","SCARA3","Scavenger receptor class A member 3","SCARA3",0.264021196,0.629973064,0.703642486,-0.158140414,0.343200284,0.357018231,0.544969553,0.199760494,0.373729546,"OTHER"
3611,"Q6BCY4","CYB5R2","NADH-cytochrome b5 reductase 2","CYB5R2",0.036821617,0.573316564,-0.053670462,0.009029213,-0.024658201,-0.139991135,0.212994027,-0.050474328,0.861086722,"OTHER"
