"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
2344,"Q3UTJ2-2","Sorbs2","Sorbin and SH3 domain-containing protein 2","Sorbs2",-0.229113515,-0.028142219,-0.70985911,0.108962468,0.159199885,-0.461281559,-0.294997559,-0.038272571,1,"OTHER"
2348,"Q3UU96","Cdc42bpa","Serine/threonine-protein kinase MRCK alpha","Cdc42bpa",0.152560325,-0.156993963,0.041379943,-0.103628996,0.075429428,0.021071181,0.017936137,-0.000444324,1,"OTHER"
2349,"Q3UUG6","Tbc1d24","TBC1 domain family member 24","Tbc1d24",-0.555617602,-0.38390512,-0.586982316,-0.217921349,0.425942184,0.187586523,-0.506038419,0.155796665,0.047292708,"INV"
2350,"Q3UUQ7","Pgap1","GPI inositol-deacylase","Pgap1",0.295137024,0.407015801,-0.087240433,-0.343369594,-0.095554314,0.103363013,0.220025849,-0.100367754,0.81706826,"OTHER"
2351,"Q3UV16","Itpripl2","Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2","Itpripl2",-0.019011075,-0.172557028,-0.000331229,-0.544808252,-0.484232796,0.233403468,-0.061928492,-0.219849683,1,"OTHER"
2352,"Q3UV17","Krt76","Keratin, type II cytoskeletal 2 oral","Krt76",-0.445201553,-1.173303334,-2.024709873,2.174991645,2.640102526,-1.301150418,-1.075376932,1.894707008,0,"INV"
2353,"Q3UV70","Pdp1","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial","Pdp1",0.127431049,-0.058236192,0.063212185,-0.017588823,-0.053475502,0.054412998,0.046176199,-0.004850296,1,"OTHER"
2354,"Q3UVG3","Fam91a1","Protein FAM91A1","Fam91a1",0.037784608,-0.442996083,-0.099051685,-0.330022204,-0.257497272,-0.053322305,-0.15425538,-0.208796287,1,"OTHER"
2355,"Q3UVK0","Ermp1","Endoplasmic reticulum metallopeptidase 1","Ermp1",0.347259274,0.278635597,-0.025138519,0.181799641,0.046588138,-0.018590541,0.209106026,0.07236384,1,"OTHER"
2356,"Q3UVL4","Vps51","Vacuolar protein sorting-associated protein 51 homolog","Vps51",-0.17845753,0.033692338,-0.011770187,0.118888781,-0.003651874,-0.054325665,-0.049332247,0.022149765,1,"OTHER"
2359,"Q3UW53","Fam129a","Protein Niban","Fam129a",-0.051650487,0.032700924,-0.130303344,0.040209073,0.065071923,0.067136612,-0.048214977,0.057524324,1,"OTHER"
2361,"Q3UXL4","Kiz","Centrosomal protein kizuna","Kiz",0.658544406,-0.250270116,0.562019736,0.254172168,-0.170136963,0.04467029,0.376869275,0.053276767,0.936367393,"OTHER"
2364,"Q3UYV9","Ncbp1","Nuclear cap-binding protein subunit 1","Ncbp1",0.207557098,0.198060123,0.045463135,0.123427311,-0.08936038,-0.204779575,0.152248541,-0.050437557,1,"OTHER"
2366,"Q3UZ09","C1rl","Complement C1r subcomponent-like protein","C1rl",-0.374168433,-0.510455356,-0.299171867,0.143100208,0.631163903,0.336110497,-0.391966954,0.3842113,0.007861914,"INV"
2367,"Q3UZ39","Lrrfip1","Leucine-rich repeat flightless-interacting protein 1","Lrrfip1",-0.017940524,-0.037472354,-0.116426186,-0.060334609,0.001151287,-0.278984871,-0.056655199,-0.107797736,1,"OTHER"
2368,"Q3UZ39-2","Lrrfip1","Leucine-rich repeat flightless-interacting protein 1","Lrrfip1",-0.296239813,0.183166561,0.253705299,0.196390115,0.128900778,0.256263894,0.066725574,0.194788719,1,"OTHER"
2369,"Q3V009","Tmed1","Transmembrane emp24 domain-containing protein 1","Tmed1",-0.027216323,-0.287808008,-0.234805599,0.113783541,0.35243682,-0.247536144,-0.178830172,0.093610336,1,"OTHER"
2371,"Q3V0J1","Tmem237","Transmembrane protein 237","Tmem237",-0.127294662,0.044326373,-0.414114546,-0.331951102,-0.225891101,0.118170788,-0.153484909,-0.133481858,1,"OTHER"
2372,"Q3V1G4","Olfml2b","Olfactomedin-like protein 2B","Olfml2b",-0.124168423,-0.061102567,-0.254224825,0.385981967,0.136872893,0.1776503,-0.144275184,0.237689532,0.577150384,"OTHER"
2373,"Q3V1M1","Igsf10","Immunoglobulin superfamily member 10","Igsf10",-0.135645203,-0.137346605,-0.628861651,-0.452442097,0.551968518,0.238314401,-0.282708426,0.170567399,0.467573835,"OTHER"
